time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
0.000000,0.000000,0.000000,5000.000000,2.613221,0.000000,0.000000,2.613221,0.000000,0.000000,0.000000,0.000000,200.000000,0.000000,3.945892,0.000000,0.000000,0.000000,3.945892,0.000000,0.000000,200.000000,0.000000,0.000000,0.000000,0.000000,-0.100325,0.000000,-1.203645,-0.145919,0.000000,-0.204685,-9148.475394,0.000000,-109758.329933,0.000000,-70074.047816,0.000000,122.425000,31.425000,0.000000,0.000000,-0.245875,-0.067683,-30.022644,-0.393024,-0.096486,0.035138,-5.464321,0.260453,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.100000,20.000000,0.000000,5000.000000,2.557626,0.000000,0.000000,2.613221,0.000000,0.000000,-5.305611,0.000000,199.847848,0.000000,3.823080,0.000000,0.000000,0.000000,3.823080,0.000000,0.000000,199.847754,0.000000,0.193913,0.055594,0.000000,-0.103209,0.000000,-1.090107,-0.148803,0.000000,-0.091147,-9411.481165,0.000000,-99405.000810,0.000000,-61758.567795,-20.085024,122.425000,31.425180,0.000000,0.000000,-0.240616,-0.067839,-30.011525,-0.371898,-0.095252,0.035095,-5.464654,0.260231,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.200000,39.984775,0.000000,5000.019391,2.003323,0.000000,0.000000,2.082663,0.000000,-0.000139,-9.981622,-0.001347,199.698027,21.500000,5.402930,-0.001213,12894.787920,21.500000,5.402930,-0.001213,12894.787920,199.702117,0.000000,0.276537,0.079342,0.000000,0.013423,0.077058,-0.925249,-0.022919,0.077058,0.074090,-11670.794910,7026.770067,-84371.886212,-165304.968827,-76013.841129,-30022.659901,122.425000,31.425360,0.000000,0.000000,-0.217474,-0.069391,-29.900665,-0.161263,-0.112549,0.034663,-5.467980,0.258013,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.300000,59.954987,0.000000,5000.047045,1.026233,0.021823,-0.000018,1.084522,-0.000135,-73.891459,-15.736961,-3.161951,199.678099,21.500000,4.437278,-2.867579,4790.497240,21.500000,4.437278,-2.867579,4790.497240,199.695700,0.075592,0.203157,0.058294,0.021689,-0.088452,0.056502,-0.532798,-0.107380,0.056502,0.467023,-12856.298648,5152.344625,-48584.909338,-127810.877869,-54406.309123,-19414.299305,122.425000,31.425540,0.000000,0.000000,-0.137810,-0.072091,-29.705247,0.210031,-0.103533,0.033902,-5.473843,0.254105,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.400000,79.924557,0.007559,5000.067361,-0.412640,0.221542,-7.380164,-0.502891,-0.213933,-131.007530,-19.632018,-6.842128,199.581003,-21.500000,1.013957,-6.600998,981.220284,-21.500000,1.013957,-6.600998,981.220284,200.460523,-0.165246,-0.228159,-0.065500,-0.047231,-0.123836,-0.136923,0.027628,-0.115059,-0.265370,1.019306,-12273.642278,-12485.760111,2519.364079,225098.168931,-5213.133291,62157.037978,122.425000,31.425720,0.000000,0.000000,-0.008533,-0.071817,-29.500000,0.855837,-0.071431,0.033371,-5.309992,0.467049,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.500000,99.970609,-0.008965,5000.044545,-2.037151,0.925326,-20.430577,-2.561161,-0.405259,-30.297987,-19.049802,-4.410750,199.459930,-13.890126,-1.207113,-5.820326,154.353284,-13.890126,-1.207113,-5.820326,154.353284,202.665233,-0.880921,-1.164609,-0.334541,-0.249045,-0.129739,-0.178983,0.520127,-0.085054,-0.527706,1.456287,-11985.070720,-16321.115321,47429.522703,110025.211295,18238.233980,61839.731199,122.425000,31.425901,0.000000,0.000000,0.110832,-0.059596,-29.500000,1.863034,-0.054955,0.034769,-4.640694,1.321541,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.600000,120.237133,-0.097057,4999.928084,-3.479909,1.324177,-23.488210,-4.498246,-0.100561,19.088435,-17.472491,-0.242379,199.317510,-3.214453,-8.106439,-2.866496,33538.396468,-3.214453,-8.106439,-2.866496,33538.396468,201.403573,-0.955979,-2.738996,-0.787376,-0.271957,0.192084,-0.141383,1.067109,0.270513,-0.538715,1.981426,-16022.552902,-12892.434660,97307.839876,7534.990248,90466.831480,36082.676844,122.424999,31.426083,0.000000,0.000000,0.250988,-0.049081,-29.500000,2.757544,0.000981,0.036260,-4.046277,2.080432,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.700000,140.377490,-0.192655,4999.654184,-4.705991,1.078469,-21.635861,-6.124171,0.551457,22.675652,-10.641796,2.657144,199.452298,4.997727,-6.421652,0.234492,6366.234347,4.997727,-6.421652,0.234492,6366.234347,200.755242,-0.627929,-4.737392,-1.361018,-0.179211,-0.091115,-0.053435,1.218152,0.015568,-0.420037,2.142393,-14674.885398,-4872.651586,111081.146171,-50843.521338,62903.518043,2588.304273,122.424998,31.426265,0.000000,0.000000,0.312158,-0.040546,-29.500000,3.517714,-0.020862,0.036978,-3.541132,2.725351,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.800000,160.453014,-0.255448,4999.180445,-5.208342,0.509409,-19.437305,-7.028544,1.178432,0.057020,-5.793672,2.788406,199.287521,-1.629635,-5.700547,1.490748,706.034486,-1.629635,-5.700547,1.490748,706.034486,200.080717,-0.254127,-6.798709,-1.955029,-0.072773,-0.149973,-0.021408,1.271914,-0.027609,-0.351683,2.207833,-14381.775411,-1952.159733,115983.593499,13944.573707,52947.241765,-111.807933,122.424997,31.426445,0.000000,0.000000,0.343878,-0.035851,-29.266657,4.175021,-0.028457,0.036218,-3.562506,2.744703,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.900000,180.461086,-0.280861,4998.500574,-5.166877,0.132163,-19.489700,-7.482303,1.638480,6.293597,-1.784301,2.878837,199.061028,-21.500000,-6.088461,2.386396,33547.171200,-21.500000,-6.088461,2.386396,33547.171200,199.410466,0.138305,-8.933335,-2.572148,0.039739,0.207311,-0.059870,1.197442,0.337530,-0.390667,2.132116,-14642.883625,-5459.468360,109192.657495,165529.243887,54876.744393,25875.924058,122.424997,31.426626,0.000000,0.000000,0.343453,-0.036553,-29.313098,4.080479,-0.024974,0.035896,-3.534144,2.771630,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
