eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/parameters,model/extractor_type,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,eval/seq_prediction_mse,time/iterations,rollout/ep_len_mean,eval/best_seq_prediction_mse,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
0.0,20000,201.3,5865051,"TransformerFeaturesExtractor",-249.08847045898438,,,,,,,,,,,,,,,,,,,,
,32768,,,,,61,-256.4688415527344,533,0.0,1.072130662202835,1,225.83,1.072130662202835,,,,,,,,,,,,
0.0,40000,272.9,,,-297.9366149902344,,,,,,,,,0.14671987295150757,0.3,-4.256815433502197,0.740818202495575,0.16028660675510764,0.878265380859375,2,0.26188504695892334,1.1663797,9.9377408e-05,0.19934464000000002,0.7361617609858513
0.0,60000,126.7,,,-224.69790649414062,,,,,0.9471086442470551,,,0.9471086442470551,,,,,,,,,,,,
,65536,,,,,151,-256.2474670410156,432,0.0,1.130152827501297,2,217.43,,,,,,,,,,,,,
0.0,80000,234.4,,,-280.030517578125,,,,,,,,,0.4224775433540344,0.3,-4.256815433502197,0.740818202495575,0.21855905186384916,0.852081298828125,4,0.16315016150474548,0.8353305,9.8754816e-05,0.19868928000000002,0.1355128213763237
,98304,,,,,220,-249.42367553710938,446,0.0,0.9780055820941925,3,202.17,,,,,,,,,,,,,
0.0,100000,88.7,,,-217.238037109375,,,,,,,,,0.40332847833633423,0.3,-4.256815433502197,0.740818202495575,0.17152731120586395,0.8062896728515625,6,0.09265801310539246,0.48240787,9.8132224e-05,0.19803392,0.11203072685748339
0.0,120000,184.8,,,-245.8040771484375,,,,,0.9624623835086823,,,,,,,,,,,,,,,
,131072,,,,,305,-256.45672607421875,428,0.01,1.1028705298900605,4,213.68,,,,,,,,,,,,,
0.0,140000,238.4,,,-273.51678466796875,,,,,,,,,0.3619301915168762,0.3,-4.256815433502197,0.740818202495575,0.11717235390096903,0.7415313720703125,8,0.05569518357515335,0.30501032,9.750963200000001e-05,0.19737856,0.09416675893589854
0.0,160000,179.6,,,-250.25607299804688,,,,,1.076794159412384,,,,,,,,,,,,,,,
,163840,,,,,397,-269.4110412597656,412,0.0,1.1090839684009552,5,256.52,,,,,,,,,,,,,
0.0,180000,364.1,,,-283.2603454589844,,,,,,,,,0.24522030353546143,0.3,-4.256815433502197,0.740818202495575,0.09256272157654166,0.6842803955078125,10,0.01792839914560318,0.169531,9.688704e-05,0.19672320000000001,0.10966293513774872
,196608,,,,,474,-266.55938720703125,413,0.0,1.0217258930206299,6,334.76,,,,,,,,,,,,,
0.0,200000,325.9,,,-288.4237976074219,,,,,,,,,0.0994066596031189,0.3,-4.256815433502197,0.740818202495575,0.05011585098691285,0.5723419189453125,12,0.020704619586467743,0.080524616,9.626444800000001e-05,0.19606784000000002,0.24890975188463926
0.0,220000,183.2,,,-233.52456665039062,,,,,0.9990897715091706,,,,,,,,,,,,,,,
,229376,,,,,576,-275.2820129394531,397,0.0,0.8915447890758514,7,367.3,0.8915447890758514,,,,,,,,,,,,
0.0,240000,362.4,,,-291.0284729003906,,,,,,,,,0.004099786281585693,0.3,-4.256815433502197,0.740818202495575,0.03188823233358562,0.4889984130859375,14,0.02829175442457199,0.059053704,9.564185600000001e-05,0.19541248,0.3053009621798992
0.0,260000,362.5,,,-275.559326171875,,,,,1.0091518700122832,,,,,,,,,,,,,,,
,262144,,,,,690,-291.874267578125,379,0.0,0.861628794670105,8,380.81,0.861628794670105,,,,,,,,,,,,
0.0,280000,327.3,,,-292.4574279785156,,,,,,,,,0.04948413372039795,0.3,-4.256815433502197,0.740818202495575,0.034966912295203656,0.4706573486328125,16,0.007765628397464752,0.044482443,9.501926400000001e-05,0.19475712,0.25152076315134764
,294912,,,,,763,-299.62042236328125,386,0.0,0.9234039664268494,9,366.76,,,,,,,,,,,,,
0.0,300000,325.8,,,-282.29754638671875,,,,,,,,,0.018847644329071045,0.3,-4.256815433502197,0.740818202495575,0.011409252241719514,0.2850341796875,18,-0.012069135904312134,0.016766803,9.439667200000001e-05,0.19410176,0.2105601355433464
0.0,320000,289.2,,,-256.81280517578125,,,,,0.8790972232818604,,,,,,,,,,,,,,,
,327680,,,,,868,-282.45257568359375,377,0.0,0.7499244749546051,10,367.33,0.7499244749546051,,,,,,,,,,,,
